id,telegram,type,date,author,caption,keywords,filename
1904,https://t.me/jotchuacontent/1904,photo,2026-09-25 00:58:37,Titus,Jotchua sits on the couch in a white dress,"dress, couch, sitting",photo_1904_0.jpg
1903,https://t.me/jotchuacontent/1903,photo,2026-09-24 22:47:04,Oowee,Jotchua wears a fuzzy orange jack-o-lantern costume,"halloween, pumpkin, costume",photo_1903_0.jpg
1902,https://t.me/jotchuacontent/1902,photo,2026-09-24 02:00:56,Oowee,Jotchua in jeans fans cash while bills spell broke,"money, jeans, rich",photo_1902_0.jpg
1901,https://t.me/jotchuacontent/1901,photo,2026-09-24 01:54:45,Oowee,Jotchua points up on a pile of cash in a black shirt,"money, pointing, chain",photo_1901_0.jpg
1900,https://t.me/jotchuacontent/1900,photo,2026-09-24 01:49:26,Oowee,Jotchua in a Thrasher beanie lounges beside cash stacks,"money, beanie, thrasher",photo_1900_0.jpg
1899,https://t.me/jotchuacontent/1899,photo,2026-09-24 00:51:55,Titus,Jotchua hugs a smiling plush in bed beside a laptop,"laptop, plush, bed",photo_1899_0.jpg
1898,https://t.me/jotchuacontent/1898,photo,2026-09-22 21:16:31,Titus,Jotchua peeks out of Sydney Sweeney's neckline during an interview,"sydney-sweeney, interview, peeking",photo_1898_0.jpg
1897,https://t.me/jotchuacontent/1897,photo,2026-09-22 02:26:14,Oowee,Jotchua fans out cash with gold teeth in the car,"money, grillz, car",photo_1897_0.jpg
1896,https://t.me/jotchuacontent/1896,video,2026-09-21 12:36:02,MW,Buff Jotchua presses a barbell overhead in a warehouse,"gym, muscles, lifting",1896_file_1896_0.mp4
1895,https://t.me/jotchuacontent/1895,photo,2026-09-21 12:35:56,MW,Jotchua in a burglar mask wheels a barrow of cash,"money, mask, wheelbarrow",photo_1895_0.jpg
1894,https://t.me/jotchuacontent/1894,photo,2026-09-21 12:35:51,MW,Jotchua in cloud pajamas winks a good morning,"pajamas, morning, wink",photo_1894_0.jpg
1893,https://t.me/jotchuacontent/1893,photo,2026-09-21 12:35:45,MW,Jotchua points up with a red and white shield,"captain-america, shield, pointing",photo_1893_0.jpg
1892,https://t.me/jotchuacontent/1892,photo,2026-09-21 12:35:45,MW,Green Hulk Jotchua flexes in torn brown pants,"hulk, muscles, angry",photo_1892_0.jpg
1891,https://t.me/jotchuacontent/1891,photo,2026-09-21 12:35:44,MW,Jotchua in Iron Man armor flies with glowing palms,"iron-man, flying, repulsor",photo_1891_0.jpg
1890,https://t.me/jotchuacontent/1890,photo,2026-09-21 12:35:44,MW,Jotchua as Thor raises a hammer with blue lightning,"thor, hammer, lightning",photo_1890_0.jpg
1889,https://t.me/jotchuacontent/1889,photo,2026-09-21 12:35:43,MW,Jotchua in a black suit draws a compound bow,"hawkeye, bow, sunglasses",photo_1889_0.jpg
1888,https://t.me/jotchuacontent/1888,photo,2026-09-21 12:35:43,MW,Jotchua as Black Widow aims a pistol in black gear,"black-widow, gun, wig",photo_1888_0.jpg
1887,https://t.me/jotchuacontent/1887,photo,2026-09-21 10:08:50,D Boi,Jotchua claims a beach bod under a yellow umbrella,"beach, sunset, umbrella",photo_1887_0.jpg
1886,https://t.me/jotchuacontent/1886,photo,2026-09-20 23:52:13,MW,Hulk Jotchua leads an Avengers squad through ruins,"avengers, hulk, superhero",photo_1886_0.jpg
1885,https://t.me/jotchuacontent/1885,photo,2026-09-20 19:36:59,MW,Jotchua in a straw hat hooks a jumping shark,"fishing, shark, boat",photo_1885_0.jpg
1884,https://t.me/jotchuacontent/1884,photo,2026-09-20 18:24:01,Titus,Jotchua wears a yellow Rilakkuma bib indoors,"rilakkuma, bib, cute",photo_1884_0.jpg
1883,https://t.me/jotchuacontent/1883,photo,2026-09-20 17:21:46,MW,Jotchua in flower sunglasses offers Elon a rose on Mars,"elon, sunglasses, rose",photo_1883_0.jpg
1882,https://t.me/jotchuacontent/1882,photo,2026-09-20 16:08:47,MW,Confused mechanic Jotchua faces an angry hammer boss,"mechanic, angry, garage",photo_1882_0.jpg
1881,https://t.me/jotchuacontent/1881,photo,2026-09-20 16:08:46,MW,Two Jotchuas think five hundred plus a pup equals cash,"thinking, money, car",photo_1881_0.jpg
1878,https://t.me/jotchuacontent/1878,photo,2026-09-20 01:18:58,Oowee,Jotchua wears a boater hat and round glasses,"gentleman, glasses, hat",photo_1878_0.jpg
1877,https://t.me/jotchuacontent/1877,photo,2026-09-19 05:16:44,Oowee,Jotchua races a yellow toy car through woods,"driving, racing, toy",photo_1877_0.jpg
1876,https://t.me/jotchuacontent/1876,photo,2026-09-19 05:12:33,Oowee,Jotchua waits at a steak dinner with wine,"steak, wine, dinner",photo_1876_0.jpg
1875,https://t.me/jotchuacontent/1875,photo,2026-09-19 05:10:20,Oowee,Jotchua sits behind the wheel of a car,"driving, car, sitting",photo_1875_0.jpg
1874,https://t.me/jotchuacontent/1874,photo,2026-09-19 05:07:52,Oowee,Jotchua sits on a beach chair clutching a bag,"beach, bag, rich",photo_1874_0.jpg
1872,https://t.me/jotchuacontent/1872,photo,2026-09-19 04:51:26,Oowee,Jotchua pumps gas into a car at night,"gas-station, pumping, car",photo_1872_0.jpg
1871,https://t.me/jotchuacontent/1871,photo,2026-09-19 04:46:01,Oowee,Jotchua in a straw hat holds sushi,"sushi, japanese, hat",photo_1871_0.jpg
1870,https://t.me/jotchuacontent/1870,photo,2026-09-19 04:40:29,Oowee,Pirate Jotchua holds a dagger beside treasure,"pirate, treasure, hat",photo_1870_0.jpg
1869,https://t.me/jotchuacontent/1869,photo,2026-09-19 04:36:15,Oowee,Cowboy Jotchua holds a six-pack of Modelo,"cowboy, beer, hat",photo_1869_0.jpg
1868,https://t.me/jotchuacontent/1868,photo,2026-09-19 04:19:35,Oowee,Jotchua texts in bed under a Shrek blanket,"shrek, phone, bedtime",photo_1868_0.jpg
1867,https://t.me/jotchuacontent/1867,photo,2026-09-19 04:06:51,Oowee,Jotchua poses on a sandy tropical beach,"beach, ocean, selfie",photo_1867_0.jpg
1866,https://t.me/jotchuacontent/1866,photo,2026-09-17 22:42:05,Titus,Cartoon Jotchua pushes a giant Pokeball wall mural,"pokemon, pokeball, graffiti",photo_1866_0.jpg
1865,https://t.me/jotchuacontent/1865,photo,2026-09-17 22:41:00,Titus,Jotchua peeks under a giant Pokeball wall mural,"pokemon, pokeball, graffiti",photo_1865_0.jpg
1864,https://t.me/jotchuacontent/1864,photo,2026-09-17 14:38:47,D Boi,Mullet Jotchua in a patterned jacket says his time is inevitable,"mullet, jacket, speech-bubble",photo_1864_0.jpg
1863,https://t.me/jotchuacontent/1863,photo,2026-09-17 14:38:42,D Boi,Jotchua of Arabia stares in a white keffiyeh,"keffiyeh, poster, arab",photo_1863_0.jpg
1862,https://t.me/jotchuacontent/1862,photo,2026-09-17 00:19:17,Titus,Jotchua plush sits beside three Pokemon plushes,"pokemon, plush, cute",photo_1862_0.jpg
1861,https://t.me/jotchuacontent/1861,photo,2026-09-16 02:31:56,peacefuldestroy,Cowboy Jotchua in a leather hat aims a revolver,"cowboy, hat, gun",photo_1861_0.jpg
1860,https://t.me/jotchuacontent/1860,photo,2026-09-16 02:31:56,peacefuldestroy,Maid Jotchua wears a blonde wig and pink tie,"anime, maid, wig",photo_1860_0.jpg
1859,https://t.me/jotchuacontent/1859,photo,2026-09-16 02:31:55,peacefuldestroy,Jotchua cries with long cyan cartoon tears,"crying, sad, tears",photo_1859_0.jpg
1858,https://t.me/jotchuacontent/1858,photo,2026-09-16 02:31:55,peacefuldestroy,Warped Jotchua face stares like a yellow blob,"derp, closeup, staring",photo_1858_0.jpg
1857,https://t.me/jotchuacontent/1857,photo,2026-09-16 02:31:54,peacefuldestroy,Jotchua stares with a crown of heart emojis,"love, heart, cute",photo_1857_0.jpg
1856,https://t.me/jotchuacontent/1856,photo,2026-09-16 02:31:53,peacefuldestroy,Cartoon Jotchua stares with big round eyes,"cartoon, drawing, staring",photo_1856_0.jpg
1855,https://t.me/jotchuacontent/1855,video,2026-09-16 01:12:46,Titus,Jotchua constellation glows over the KLCC fountain,"constellation, fountain, night",1855_klcc_dog_constellation.mp4
1854,https://t.me/jotchuacontent/1854,photo,2026-09-15 01:22:39,Titus,Jotchua peeks from under a wooden bed,"hiding, peeking, cute",photo_1854_0.jpg
1853,https://t.me/jotchuacontent/1853,photo,2026-09-14 12:00:27,D Boi,Giant Jotchua sprays water from a tropical beach,"giant, beach, ocean",photo_1853_0.jpg
1852,https://t.me/jotchuacontent/1852,photo,2026-09-14 01:07:47,D Boi,Jotchua looks back over a round fluffy butt,"looking-back, butt, cute",1852_HN5HszYWoAEYm7w.jpg
1851,https://t.me/jotchuacontent/1851,photo,2026-09-14 01:07:46,D Boi,Jotchua in a jeweled robe sits with headphones,"robe, headphones, sitting",1851_file_00000000499c81f59e5622a028a3bf65.png
1850,https://t.me/jotchuacontent/1850,photo,2026-09-14 01:07:45,D Boi,Jotchua on a jeweled throne lifts a sleep mask,"throne, sleepy, royalty",1850_file_00000000b93c81f5bcadbe20c643dfb0.png
1849,https://t.me/jotchuacontent/1849,photo,2026-09-14 01:07:44,D Boi,Jotchua in a pink robe lounges on forest moss,"forest, moss, sunglasses",1849_file_0000000041f081f58afcbf268ecf0fed.png
1848,https://t.me/jotchuacontent/1848,photo,2026-09-14 01:07:43,D Boi,Jotchua's head floats in a turquoise mountain lake,"swimming, mountain, lake",1848_file_00000000fad081f482fc236737f0fe71.png
1847,https://t.me/jotchuacontent/1847,photo,2026-09-14 01:07:42,D Boi,Jotchua peeks from a beer mug in the mountains,"beer, mountain, drinking",1847_file_00000000f41881fd8b060bd5f6189181.png
1846,https://t.me/jotchuacontent/1846,photo,2026-09-14 01:07:38,D Boi,Grad-cap Jotchua sits beside a farting twin,"graduation, glasses, fart",1846_file_00000000edcc81f5996be5807c98907e.png
1845,https://t.me/jotchuacontent/1845,photo,2026-09-14 01:07:37,D Boi,Jotchua walks a crosswalk with headphones and a tote,"walking, headphones, crossing",1845_file_00000000453481f5a5a41524d55a799f.png
1844,https://t.me/jotchuacontent/1844,photo,2026-09-14 01:07:37,D Boi,Jotchua in sunglasses sips wine on a boat,"wine, sunglasses, boat",1844_file_00000000485881f79b2ed572198184f3.png
